kaf·ki·a·na,"nome feminino",kaf.kjˈə.nə
kaf·ki·a·no,adjetivo,kaf.kjˈə.nʊ
kaf·ki·a·no,"nome masculino",kaf.kjˈə.nʊ
"ka· mi· ka· ze","nome masculino",ka.mi.kˈa.zi
"ka· mi· ka· ze",adjetivo,ka.mi.kˈa.zi
kan·ti·a·na,"nome feminino",kə̃.tʃjˈə.nə
kan·ti·a·no,adjetivo,kə̃.tʃjˈə.nʊ
kan·ti·a·no,"nome masculino",kə̃.tʃjˈə.nʊ
"ka· ra· o· ke","nome masculino",
"ka· ra·té","nome masculino",ka.ɾa.tˈɛ
"ka· ra·te·ca","nome masculino","ka.ɾa.tˈɛ.kə ou ka.ɾa.tˈɛ.kə"
"kar· bo· va· net","nome masculino",
kart,"nome masculino",
"kar· ting","nome masculino",
kar·tó·dro·mo,"nome masculino",kaɾ.tˈɔ.dɾo.mʊ
"kay· ak","nome masculino",
"kel· vin","nome masculino",
"kel· vin",adjetivo,
"ke· ple·ri·a·no",adjetivo,kɛ.ple.ɾjˈə.nʊ
"ket· chup","nome masculino",
"key· ne·si·a·nis·mo","nome masculino",kej.ne.zja.nˈiz.mʊ
"ki· butz","nome masculino",
"kick· bo· xer","nome masculino",ou
"kick· bo· xing","nome masculino",
"ki· lo· by· te","nome masculino",
"ki· lo· hertz","nome masculino",
"ki· lo· watt","nome masculino",ki.lˈo.wɔt
"ki· lo· watt-ho·ra","nome masculino",ki.lˌo.wɔt.ˈɔ.ɾə
kilt,"nome masculino",
"ki· mo· no","nome masculino",
"ki· na","nome masculino",
king,"nome masculino",
kip,"nome masculino",kip
kirsch,"nome masculino",
kit,"nome masculino",kit
"kit· che· net· te","nome feminino",
kitsch,"nome masculino",
kitsch,adjetivo,
"ki· wi","nome masculino",
knock-out,"nome masculino",
knock-out,adjetivo,
know-how,"nome masculino",
ko·so·var,"nome masculino","ko.zo.vˈaɾ ou ko.zo.vˈaɾ"
"ko· so·var",adjetivo,ko.zo.vˈaɾ
"ko· wei·ti·a·no",adjetivo,ko.wej.tʃjˈə.nʊ
"ko· wei·ti·a·no","nome masculino",ko.wej.tʃjˈə.nʊ
"krem· lin","nome masculino",
krill,"nome masculino",
"ku· na","nome masculino",
kung-fu,"nome masculino",
"ku· ru","nome masculino",ku.ɾˈu
"ku· wai·ti·a·na","nome feminino",ku.waj.tʃjˈə.nə
"ku· wai·ti·a·no",adjetivo,ku.waj.tʃjˈə.nʊ
"ku· wai·ti·a·no","nome masculino",ku.waj.tʃjˈə.nʊ
"kwa· cha","nome masculino",
"kwan· za","nome masculino",
