"wag· ne·ri·a·na","nome feminino",va.gi.ne.ɾjˈə.nə
"wag· ne·ri·a·no","nome masculino",va.gi.ne.ɾjˈə.nʊ
"wag· ne·ri·a·no",adjetivo,va.gi.ne.ɾjˈə.nʊ
"wal· kie-tal· kie","nome masculino",
"war· rant","nome masculino",
"wa· shing· to·ni·a·no","nome masculino",wo.ʃĩ.gə.to.njˈə.nʊ
"wa· shing· to·ni·a·no",adjetivo,wo.ʃĩ.gə.to.njˈə.nʊ
watt,"nome masculino",
web,"nome feminino",
"we· ber","nome masculino",
"we· be·ri·a·no",adjetivo,wɛ.be.ɾjˈə.nʊ
"wes· tern","nome masculino",
"whis· key","nome masculino",
"whis· ky","nome masculino",
"wil· so·ni·a·no",adjetivo,wiw.so.njˈə.nʊ
"wind· surf","nome masculino",
"wind· sur·fis·ta","nome masculino",wĩnd.suɾ.fˈis.tə
"wind· sur·fis·ta","nome feminino",wĩnd.suɾ.fˈis.tə
won,"nome masculino",
"work· shop","nome masculino",
